Honorific Title,First Name,Last Name,Constituency,Province / Territory,Political Affiliation,Start Date,End Date
,Claude,DeBellefeuille,Salaberry—Suroît,Quebec,Bloc Québécois,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Gérard,Deltell,Louis-Saint-Laurent,Quebec,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Chris,d'Entremont,West Nova,Nova Scotia,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Caroline,Desbiens,Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix,Quebec,Bloc Québécois,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Luc,Desilets,Rivière-des-Mille-Îles,Quebec,Bloc Québécois,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Sukh,Dhaliwal,Surrey—Newton,British Columbia,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Anju,Dhillon,Dorval—Lachine—LaSalle,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Kerry,Diotte,Edmonton Griesbach,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Todd,Doherty,Cariboo—Prince George,British Columbia,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Han,Dong,Don Valley North,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Terry,Dowdall,Simcoe—Grey,Ontario,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Earl,Dreeshen,Red Deer—Mountain View,Alberta,Conservative,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Francis,Drouin,Glengarry—Prescott—Russell,Ontario,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
,Emmanuel,Dubourg,Bourassa,Quebec,Liberal,2019-10-21 12:00:00 AM,2021-09-19 11:59:59 PM
