KPICategory,KPIMeasure,KPIYear,KPIValue
Collections,Unique Titles Owned by the Library,2007,124964
Answers,Reference Questions/Transactions - Total,2007,66243
Visits,Electronic - Web Site Visits,2005,122783
Visits,Patrons visiting Central Library,2001,317304
Open days,Days Open,2008,339
Collections,Items Received,2005,18551
Borrowing,Items Borrowed from Other Libraries,2015,3892
Answers,Staff-Mediated Reference Transactions -- Non-technology training,2010,69345
Volunteers,Volunteer Hours,2006,2998
Programs,Program Participants,2004,24368
Visits,Patrons visiting the Bookmobile,2009,12034
Population,Population Served,2011,90723
Borrowing,Physical Material Borrowed (Central and Bookmobile),2006,932889
Borrowing,Laptop Loans,2015,64
Answers,Reference Transactions via the Internet,2012,1446
Visits,Total Patron Visits,2015,1607686
Answers,Staff-Mediated Customer Service/ Information Transactions,2002,20639
Volunteers,Volunteer Hours,2002,2680
Borrowing,Patron Holds Requests Placed on Materials That Were Filled,2004,96865
Answers,Staff-Mediated Customer Service/ Information Transactions,2005,22918
Answers,Staff-Mediated Reference Transactions -- Non-technology training,2007,36572
Visits,Patrons visiting the Bookmobile,2002,7149
Training,Formal Technology Training Sessions - number trained,2009,118
Answers,Reference Questions/Transactions - Total,2005,67445
Borrowing,Circulation of Library Materials Borrowed Per Capita,2003,11.44
Visits,Patrons visiting the Bookmobile,2012,19271
Borrowing,Items Lent to Fort Saskatchewan,2003,7626
Collections,Total Newspaper and Magazine Titles Offered in Print Version,2009,404
Borrowing,Circulation of Library Materials Borrowed Per Capita,2010,12.66
Visits,Electronic - Web Site Visits,2006,135815
Visits,Electronic - Visits to the Catalogue on the Web,2011,317593
Answers,Reference Questions/Transactions - Total,2004,295259
Training,Formal Technology Training Sessions - number trained,2005,128
Training,Formal Technology Training Sessions - number of session,2002,133
Visits,Electronic - Web Site Visits,2009,198597
Answers,Staff-Mediated Customer Service/ Information Transactions,2006,21662
Borrowing,Circulation of Library Materials Borrowed Per Capita,2004,11.28
Collections,Items Catalogued,2007,14082
Collections,Unique Titles Owned by the Library,2004,122900
Borrowing,Total Library Materials Used,2002,982262
Open days,Days Open,2015,349
Internet,Patron Use of Public Computers,2015,65201
Collections,Items Received,2006,28326
Programs,Program Participants,2005,23975
Collections,Items Ordered,2013,39453
Borrowing,Items Lent to Other Libraries,2005,778
Answers,Reference Questions/Transactions - Total,2002,283501
Collections,Items Catalogued,2006,12786
Collections,Total Newspaper and Magazine Titles Offered in Print Version,2011,527
Visits,Patrons visiting the Bookmobile,2004,9155
Collections,Total Newspaper and Magazine Titles Offered in Print Version,2008,363
Open days,Days Open,2004,339
Borrowing,Materials Used In-House,2007,157700
Training,Formal Technology Training Sessions - number trained,2004,382
Borrowing,Items Lent to Fort Saskatchewan,2014,20581
Borrowing,Laptop Loans,2014,77
Borrowing,Total Library Materials Used,2015,1491558
Borrowing,Items Lent to Other Libraries,2007,1392
Visits,Patrons visiting Central Library,2009,477405
Training,Formal Technology Training Sessions - number trained,2006,139
Collections,Total Newspaper and Magazine Titles Offered in Print Version,2014,516
Internet,Use of wireless internet,2009,21050
Collections,Items Ordered,2007,23373
Answers,Staff-Mediated Reference Transactions -- Non-technology training,2014,73563
Visits,Electronic - Web Site Visits,2003,115260
Programs,Program Participants,2010,27819
Borrowing,Items Lent to Other Libraries,2010,1330
Collections,Unique Titles Owned by the Library,2009,138483
Answers,Reference Transactions via the Internet,2013,1116
Answers,Reference Transactions via the Internet,2009,1357
Collections,Items Ordered,2009,34736
Borrowing,Physical Material Borrowed (Central and Bookmobile),2009,1106443
Answers,Reference Transactions via the Internet,2004,385
Volunteers,Volunteer Hours,2012,2912
Borrowing,Total Library Materials Used,2010,1322463
Training,Informal Technology Training Sessions,2003,3360
Borrowing,Items Borrowed from Other Libraries,2010,2422
Training,Informal Technology Training Sessions,2009,11111
Collections,Total Newspaper and Magazine Titles Offered in Print Version,2013,514
Volunteers,Volunteer Hours,2005,3142
Borrowing,Physical Material Borrowed (Central and Bookmobile),2007,968934
Visits,Patrons visiting the Bookmobile,2014,23611
Borrowing,Items Borrowed from Fort Saskatchewan,2011,16891
