,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
80,"LOVE DIVE",IVE,1130930,https://open.spotify.com/track/0Q5VnK2DYzRyfqQRJuUtvi
81,Butter,BTS,1125669,https://open.spotify.com/track/1mWdTewIgB3gtBM3TOSFhB
82,"I'M ON ONE (feat. Drake)",Future,1124457,https://open.spotify.com/track/6wyhUr4Xw8z5uSy0AhoZfU
83,"Si Quieren Frontear",Duki,1116963,https://open.spotify.com/track/6bQ5823aHmFVKLZW8E7rRo
84,"lovely (with Khalid)","Billie Eilish",1116378,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
85,ZOOM,Jessi,1112589,https://open.spotify.com/track/4IaxDf2FixiQXq0mW7key9
86,"A Tu Merced","Bad Bunny",1112558,https://open.spotify.com/track/4r9jkMEnArtWGH2rL2FZl0
87,"Demasiadas Mujeres","C. Tangana",1106887,https://open.spotify.com/track/3GaGWoU1KfVqgl7vnRHP55
88,"TUS LÁGRIMAS",Mora,1103227,https://open.spotify.com/track/30W8VKHrAZmHzObnwAoc1u
89,Pasoori,"Shae Gill",1081981,https://open.spotify.com/track/7lvDsmTRXFE3dK4OjvRiWB
90,Believer,"Imagine Dragons",1075820,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
91,"Cool for the Summer","Demi Lovato",1070781,https://open.spotify.com/track/3uwnnTQcHM1rDqSfA4gQNz
92,"One Right Now (with The Weeknd)","Post Malone",1068387,https://open.spotify.com/track/00Blm7zeNqgYLPtW6zg8cj
93,"Todo De Ti","Rauw Alejandro",1065158,https://open.spotify.com/track/3rdAz1fbUfZxYgaCviYhRo
94,"Don't Start Now","Dua Lipa",1063425,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62
95,"The Real Slim Shady",Eminem,1048037,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
96,Yellow,Coldplay,1047965,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
97,Payphone,"Maroon 5",1046911,https://open.spotify.com/track/1XGmzt0PVuFgQYYnV2It7A
98,"Adore You","Harry Styles",1046278,https://open.spotify.com/track/3jjujdWJ72nww5eGnfs2E7
99,"Mon Amour - Remix",zzoilo,1032096,https://open.spotify.com/track/5TMLavqGRKNxgzMBrVpC9R
100,Beggin',Måneskin,1026915,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
101,"LA CANCIÓN","J Balvin",1026296,https://open.spotify.com/track/0fea68AdmYNygeTGI4RC18
102,"In My Head","Lil Tjay",1020566,https://open.spotify.com/track/1HvTxgCj0mTzQlEo0zLvFb
103,Dynamite,BTS,1015285,https://open.spotify.com/track/5QDLhrAOJJdNAmCTJ8xMyW
104,"10 Things I Hate About You","Leah Kate",1013578,https://open.spotify.com/track/6Jkm5kUldvIqxzI1Pa7nXH
105,"Blank Space","Taylor Swift",1013416,https://open.spotify.com/track/1u8c2t2Cy7UBoG4ArRcF5g
106,"Tacones Rojos","Sebastian Yatra",1013016,https://open.spotify.com/track/6ylDpki1VpIsc525KC1ojF
107,"Someone You Loved","Lewis Capaldi",1003533,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf
108,"Dark Red","Steve Lacy",994096,https://open.spotify.com/track/37y7iDayfwm3WXn5BiAoRk
109,"Counting Stars",OneRepublic,990503,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
110,Toxic,BoyWithUke,981859,https://open.spotify.com/track/2gQPv5jvVPqU2a9HhMNO1v
111,"Bohemian Rhapsody - Remastered 2011",Queen,972851,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
112,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",972832,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
113,"Te Felicito",Shakira,969830,https://open.spotify.com/track/2rurDawMfoKP4uHyb2kJBt
114,"La Santa","Bad Bunny",969724,https://open.spotify.com/track/69vlMrzHwATKzupwNcUPyK
115,Lost,"Frank Ocean",969370,https://open.spotify.com/track/3GZD6HmiNUhxXYf8Gch723
116,Unstoppable,Sia,966116,https://open.spotify.com/track/2J2Z1SkXYghSajLibnQHOa
117,"San Lucas","Kevin Kaarl",963918,https://open.spotify.com/track/75UMtPC77vqKRwfSuYuNPO
118,"Lose Yourself - From ""8 Mile"" Soundtrack",Eminem,963729,https://open.spotify.com/track/1v7L65Lzy0j0vdpRjJewt1
119,"Smells Like Teen Spirit - Remastered",Nirvana,957685,https://open.spotify.com/track/0gucTLf7trAf37Ua1uAyAu
120,Starlight,Dave,954496,https://open.spotify.com/track/531KGXtBroSrOX9LVmiIgc
121,"Oh My God",Adele,949908,https://open.spotify.com/track/3Kkjo3cT83cw09VJyrLNwX
